symbol,sound_type,voicing,place,manner,height,backness,roundness
t,consonant,voiceless,dental,stop,,,
d,consonant,voiced,dental,stop,,,
p,consonant,voiceless,labial,stop,,,
b,consonant,voiced,labial,stop,,,
k,consonant,voiceless,velar,stop,,,
g,consonant,voiced,velar,stop,,,
s,consonant,voiceless,dental,fricative,,,
z,consonant,voiced,dental,fricative,,,
f,consonant,voiceless,labial,fricative,,,
v,consonant,voiced,labial,fricative,,,
ts,consonant,voiceless,dental,affricate,,,
dz,consonant,voiced,dental,affricate,,,
sh,consonant,voiceless,retroflex,fricative,,,
zh,consonant,voiced,retroflex,fricative,,,
ch,consonant,voiceless,retroflex,affricate,,,
jh,consonant,voiced,retroflex,affricate,,,
x,consonant,voiceless,velar,fricative,,,
l,consonant,voiced,alveolar,lateral,,,
r,consonant,voiced,alveolar,approximant,,,
j,consonant,voiced,palatal,approximant,,,
w,consonant,voiced,velar,approximant,,,rounded
sj,consonant,voiceless,palatal,fricative,,,
zj,consonant,voiced,palatal,fricative,,,
cj,consonant,voiceless,palatal,affricate,,,
dj,consonant,voiced,palatal,affricate,,,
m,consonant,voiced,labial,nasal,,,
n,consonant,voiced,dental,nasal,,,
nj,consonant,voiced,palatal,nasal,,,
a,vowel,voiced,,,low,central,unrounded
e,vowel,voiced,,,mid,front,unrounded
i,vowel,voiced,,,high,front,unrounded
o,vowel,voiced,,,mid,back,rounded
u,vowel,voiced,,,high,back,rounded
y,vowel,voiced,,,high,central,unrounded
N,consonant,voiced,velar,nasal,,,
